date,actual_close,point_forecast,pred_lo,pred_hi,actual_ret,pred_ret,signal_scheme_1prime,blocked,tc_cost,pnl
2024-12-11,77509.0,76976.80454006053,76126.86199392406,77932.10196115104,0.009749471129014852,0.00285954921231546,0.0,1,0.0,0.0
2024-12-12,77933.0,77242.81050295882,76335.22645779823,78149.31243654464,0.005455424551640162,-0.0034402151252015366,-0.0,1,0.0,-0.0
2024-12-13,76735.0,77249.07963325549,76485.65088684102,78307.00428313752,-0.015491555573687239,-0.008814481626479543,-0.0,1,0.0,0.0
2024-12-16,76588.0,76769.76809544611,76261.8482239482,78139.79569687815,-0.0019175211160995338,0.0004529904376525127,0.0,1,0.0,-0.0
2024-12-17,76082.0,76423.89781279681,75690.58859326856,77561.0138038637,-0.00662870050157959,-0.002144960652948725,-0.0,1,0.0,0.0
2024-12-18,76391.0,75970.86279600768,75150.61584154668,76972.08947125974,0.004053182176886934,-0.0014618234966404995,-0.0,1,0.0,-0.0
2024-12-19,75696.0,75836.09880800302,74930.86022886014,76781.44096204019,-0.00913956929747382,-0.007290471330462612,-0.0,1,0.0,0.0
2024-12-20,75233.0,75703.84841685857,74949.32038065739,76786.15295800514,-0.0061353544033956944,0.00010367800163168976,0.0,1,0.0,-0.0
2024-12-23,75671.0,75533.34761590415,74666.0753336746,76521.98993249719,0.0058050314105728236,0.003984284530021907,0.0,1,0.0,0.0
2024-12-24,75640.0,75673.1048066423,74396.5429597437,76205.77149813768,-0.0004097521057125268,2.781484809220043e-05,0.0,1,0.0,-0.0
2024-12-25,75640.0,75810.49902155725,75376.42793040308,77189.20916311773,0.0,0.002251548785736253,0.0,1,0.0,0.0
2024-12-26,75640.0,75763.92644492774,74982.69107015384,76805.96807999862,0.0,0.0016370311591409718,0.0,1,0.0,0.0
2024-12-27,75990.0,75972.59815852974,75151.82179798878,76947.90120484628,0.004616508891436813,0.004387480936437357,0.0,1,0.0,0.0
2024-12-30,75990.0,76062.77746826818,75130.00130195645,76940.5837097886,0.0,0.0009572659577479762,0.0,1,0.0,0.0
2024-12-31,75874.0,76087.99926937718,75682.37414377504,77505.57264691168,-0.0015276829605464894,0.001288802896051034,0.0,1,0.0,-0.0
2025-01-01,75913.0,76220.13956110591,75297.22929633514,77119.01471734897,0.0005138780114006126,0.004551656752881717,0.0,1,0.0,0.0
2025-01-02,76308.0,76311.0912728566,75408.76216933665,77215.34094462333,0.005189834340723294,0.005230343989041328,0.0,1,0.0,0.0
2025-01-03,76720.0,76704.14811975264,75590.44355675069,77407.92564567414,0.005384648501911823,0.00517800723327134,0.0,1,0.0,0.0
2025-01-06,76720.0,76813.56929588482,76203.39901221561,78021.53959418106,0.0,0.0012188775119122129,0.0,1,0.0,0.0
2025-01-07,76670.0,76929.56062112424,76350.04425386264,78182.3080753453,-0.0006519330043797336,0.002727775467992419,0.0,1,0.0,-0.0
2025-01-08,76811.0,77061.65061014783,75985.51611143639,77808.2032035022,0.001837361493172425,0.0050952612024772245,0.0,1,0.0,0.0
