date,silver
2019-08-04,16.222000122070312
2019-08-11,16.89699935913086
2019-08-18,17.09600067138672
2019-08-25,17.395000457763672
2019-09-01,18.184999465942383
2019-09-08,17.968000411987305
2019-09-15,17.43600082397461
2019-09-22,17.738000869750977
2019-09-29,17.552000045776367
2019-10-06,17.540000915527344
2019-10-13,17.461999893188477
2019-10-20,17.50200080871582
2019-10-27,17.861000061035156
2019-11-03,18.003999710083008
2019-11-10,16.783000946044922
2019-11-17,16.933000564575195
2019-11-24,16.985000610351562
2019-12-01,16.9689998626709
2019-12-08,16.481000900268555
2019-12-15,16.91200065612793
2019-12-22,17.128000259399414
2019-12-29,17.849000930786133
2020-01-05,18.06800079345703
2020-01-12,18.03300094604492
2020-01-19,18.01300048828125
2020-01-26,18.05699920654297
2020-02-02,17.972000122070312
2020-02-09,17.665000915527344
2020-02-16,17.71500015258789
2020-02-23,18.520999908447266
2020-03-01,16.386999130249023
2020-03-08,17.214000701904297
2020-03-15,14.456000328063965
2020-03-22,12.348999977111816
2020-03-29,14.498000144958496
2020-04-05,14.435999870300291
2020-04-12,15.994999885559082
2020-04-19,15.237000465393066
2020-04-26,15.253999710083008
2020-05-03,14.86299991607666
2020-05-10,15.739999771118164
2020-05-17,17.04599952697754
2020-05-24,17.663999557495117
2020-05-31,18.440000534057617
2020-06-07,17.44300079345703
2020-06-14,17.461999893188477
2020-06-21,17.832000732421875
2020-06-28,18.02300071716309
2020-07-05,18.24399948120117
2020-07-12,18.982999801635746
2020-07-19,19.684999465942383
2020-07-26,22.808000564575195
2020-08-02,24.18899917602539
2020-08-09,27.53300094604492
2020-08-16,26.065000534057617
2020-08-23,26.707000732421875
2020-08-30,27.61000061035156
2020-09-06,26.576000213623047
2020-09-13,26.73900032043457
2020-09-20,27.027999877929688
2020-09-27,23.01700019836425
2020-10-04,23.97100067138672
2020-10-11,25.069000244140625
2020-10-18,24.36899948120117
2020-10-25,24.62700080871582
2020-11-01,23.617000579833984
2020-11-08,25.645999908447266
2020-11-15,24.75900077819824
2020-11-22,24.347999572753903
2020-11-29,22.55299949645996
2020-12-06,24.202999114990234
2020-12-13,24.03199958801269
2020-12-20,25.948999404907227
2020-12-27,25.81100082397461
2021-01-03,26.332000732421875
2021-01-10,24.582000732421875
2021-01-17,24.825000762939453
2021-01-24,25.52400016784668
2021-01-31,26.89999961853028
2021-02-07,27.013999938964844
2021-02-14,27.32299995422364
2021-02-21,27.25200080871582
2021-02-28,26.402000427246094
2021-03-07,25.256999969482425
2021-03-14,25.8799991607666
2021-03-21,26.29199981689453
2021-03-28,25.09199905395508
2021-04-04,24.934999465942383
2021-04-11,25.31100082397461
2021-04-18,26.099000930786133
2021-04-25,26.07699966430664
2021-05-02,25.85300064086914
2021-05-09,27.46199989318848
2021-05-16,27.35300064086914
2021-05-23,27.472999572753903
2021-05-30,27.99300003051757
2021-06-06,27.878999710083008
2021-06-13,28.131000518798828
2021-06-20,25.95800018310547
2021-06-27,26.082000732421875
2021-07-04,26.481000900268555
2021-07-11,26.211000442504883
2021-07-18,25.777000427246094
2021-07-25,25.218000411987305
2021-08-01,25.527999877929688
2021-08-08,24.312000274658203
2021-08-15,23.76799964904785
2021-08-22,23.104999542236328
2021-08-29,24.059999465942383
2021-09-05,24.761999130249023
2021-09-12,23.854999542236328
2021-09-19,22.295000076293945
2021-09-26,22.38800048828125
2021-10-03,22.51000022888184
2021-10-10,22.679000854492188
2021-10-17,23.327999114990234
2021-10-24,24.429000854492188
2021-10-31,23.94499969482422
2021-11-07,24.152000427246094
2021-11-14,25.3439998626709
2021-11-21,24.780000686645508
2021-11-28,23.10700035095215
2021-12-05,22.44499969482422
2021-12-12,22.15999984741211
2021-12-19,22.506999969482425
2021-12-26,22.93099975585937
2022-01-02,23.327999114990234
2022-01-09,22.393999099731445
2022-01-16,22.910999298095703
2022-01-23,24.31399917602539
2022-01-30,22.302000045776367
2022-02-06,22.475000381469727
2022-02-13,23.36599922180176
2022-02-20,23.99099922180176
2022-02-27,23.996999740600582
2022-03-06,25.78199958801269
2022-03-13,26.106000900268555
2022-03-20,25.05500030517578
2022-03-27,25.59499931335449
2022-04-03,24.64200019836425
2022-04-10,24.819000244140625
2022-04-17,25.690000534057617
2022-04-24,24.256999969482425
2022-05-01,23.040000915527344
2022-05-08,22.325000762939453
2022-05-15,20.983999252319336
2022-05-22,21.66900062561035
2022-05-29,22.059999465942383
2022-06-05,21.88999938964844
2022-06-12,21.913000106811523
2022-06-19,21.57299995422364
2022-06-26,21.11599922180176
2022-07-03,19.597000122070312
2022-07-10,19.16699981689453
2022-07-17,18.54800033569336
2022-07-24,18.584999084472656
2022-07-31,20.1560001373291
2022-08-07,19.819000244140625
2022-08-14,20.677000045776367
2022-08-21,19.058000564575195
2022-08-28,18.739999771118164
2022-09-04,17.775999069213867
2022-09-11,18.65800094604492
2022-09-18,19.29599952697754
2022-09-25,18.840999603271484
2022-10-02,18.959999084472656
2022-10-09,20.191999435424805
2022-10-16,18.01499938964844
2022-10-23,19.042999267578125
2022-10-30,19.14699935913086
2022-11-06,20.790000915527344
2022-11-13,21.645999908447266
2022-11-20,20.97599983215332
2022-11-27,21.424999237060547
2022-12-04,23.038000106811523
2022-12-11,23.53499984741211
2022-12-18,23.150999069213867
2022-12-25,23.763999938964844
2023-01-01,23.86199951171875
2023-01-08,23.82200050354004
2023-01-15,24.231000900268555
2023-01-22,23.82999992370605
2023-01-29,23.527000427246094
2023-02-05,22.333999633789062
2023-02-12,22.03400039672852
2023-02-19,21.694000244140625
2023-02-26,20.80599975585937
2023-03-05,21.093000411987305
2023-03-12,20.375
2023-03-19,22.35099983215332
2023-03-26,23.246999740600582
2023-04-02,24.076000213623047
2023-04-09,25.02499961853028
2023-04-16,25.42399978637696
2023-04-23,25.05299949645996
2023-04-30,24.999000549316406
2023-05-07,25.74300003051757
2023-05-14,23.992000579833984
2023-05-21,23.920000076293945
2023-05-28,23.239999771118164
2023-06-04,23.64299964904785
2023-06-11,24.333999633789062
2023-06-18,24.076000213623047
2023-06-25,22.327999114990234
2023-07-02,22.809999465942383
2023-07-09,23.09199905395508
2023-07-16,25.013999938964844
2023-07-23,24.69799995422364
2023-07-30,24.3700008392334
2023-08-06,23.617000579833984
2023-08-13,22.67399978637696
2023-08-20,22.69499969482422
2023-08-27,24.21999931335449
2023-09-03,24.23200035095215
2023-09-10,22.89200019836425
2023-09-17,23.1259994506836
2023-09-24,23.59600067138672
2023-10-01,22.23600006103516
2023-10-08,21.540000915527344
2023-10-15,22.72699928283692
2023-10-22,23.35099983215332
2023-10-29,22.770000457763672
2023-11-05,23.201000213623047
2023-11-12,22.21500015258789
2023-11-19,23.80900001525879
2023-11-26,24.32900047302246
2023-12-03,25.499000549316406
2023-12-10,22.97100067138672
2023-12-17,23.8700008392334
2023-12-24,24.290000915527344
2023-12-31,23.85300064086914
2024-01-07,23.121999740600582
2024-01-14,23.16200065612793
2024-01-21,22.57099914550781
2024-01-28,22.7549991607666
2024-02-04,22.701000213623047
2024-02-11,22.527999877929688
2024-02-18,23.43899917602539
2024-02-25,22.9689998626709
2024-03-03,23.14999961853028
2024-03-10,24.339000701904297
2024-03-17,25.200000762939453
2024-03-24,24.691999435424805
2024-03-31,24.79700088500977
2024-04-07,27.39999961853028
2024-04-14,28.2549991607666
2024-04-21,28.808000564575195
2024-04-28,27.24099922180176
2024-05-05,26.44499969482422
2024-05-12,28.27499961853028
2024-05-19,31.04700088500977
2024-05-26,30.32999992370605
2024-06-02,30.29700088500977
2024-06-09,29.334999084472656
2024-06-16,29.402000427246094
2024-06-23,29.57299995422364
2024-06-30,29.23699951171875
2024-07-07,31.38800048828125
2024-07-14,30.88599967956543
2024-07-21,29.08799934387207
2024-07-28,27.86000061035156
2024-08-04,28.246000289916992
2024-08-11,27.48699951171875
2024-08-18,28.777999877929688
2024-08-25,29.785999298095703
2024-09-01,28.731000900268555
2024-09-08,27.808000564575195
2024-09-15,30.698999404907227
2024-09-22,31.176000595092773
2024-09-29,31.518999099731445
2024-10-06,32.12799835205078
2024-10-13,31.520000457763672
2024-10-20,33.03200149536133
2024-10-27,33.60300064086914
2024-11-03,32.54199981689453
2024-11-10,31.358999252319336
2024-11-17,30.371000289916992
2024-11-24,31.30900001525879
2024-12-01,30.684999465942383
2024-12-08,31.18600082397461
2024-12-15,30.655000686645508
2024-12-22,29.65999984741211
2024-12-29,29.655000686645508
2025-01-05,29.80599975585937
2025-01-12,31.090999603271484
2025-01-19,30.951000213623047
2025-01-26,31.02300071716309
2025-02-02,32.12799835205078
2025-02-09,32.334999084472656
2025-02-16,32.80099868774414
2025-02-23,32.97600173950195
2025-03-02,31.2189998626709
2025-03-09,32.54800033569336
2025-03-16,34.1870002746582
2025-03-23,33.290000915527344
2025-03-30,34.64400100708008
2025-04-06,29.11599922180176
2025-04-13,31.823999404907227
2025-04-20,32.41999816894531
2025-04-27,32.98899841308594
2025-05-04,31.98900032043457
2025-05-11,32.67599868774414
2025-05-18,32.15800094604492
2025-05-25,33.44200134277344
2025-06-01,32.891998291015625
2025-06-08,36.025001525878906
2025-06-15,36.28099822998047
2025-06-22,35.97600173950195
2025-06-29,36.0369987487793
2025-07-06,36.775001525878906
2025-07-13,38.67599868774414
2025-07-20,38.22299957275391
2025-07-27,38.16699981689453
2025-08-03,36.7869987487793
2025-08-10,38.41699981689453
2025-08-17,37.89400100708008
2025-08-24,39.00299835205078
2025-08-31,40.20000076293945
2025-09-07,41.07400131225586
2025-09-14,42.387001037597656
2025-09-21,42.5359992980957
2025-09-28,46.22100067138672
2025-10-05,47.59700012207031
2025-10-12,46.9379997253418
2025-10-19,49.86399841308594
2025-10-26,48.37699890136719
2025-11-02,47.99399948120117
2025-11-09,48.016998291015625
2025-11-16,50.59000015258789
2025-11-23,49.87300109863281
2025-11-30,56.44599914550781
2025-12-07,58.422000885009766
2025-12-14,61.36199951171875
2025-12-21,66.84500122070312
2025-12-28,76.48600006103516
2026-01-04,70.55599975585938
2026-01-11,78.88400268554688
2026-01-18,88.09100341796875
2026-01-25,100.9250030517578
2026-02-01,78.29000091552734
2026-02-08,76.73500061035156
2026-02-15,77.85099792480469
