date,mcx_gold
2018-11-23,30394.0
2018-11-26,30240.0
2018-11-27,30240.0
2018-11-28,30664.0
2018-11-29,30945.0
2018-11-30,30855.0
2018-12-03,31050.0
2018-12-04,31050.0
2018-12-05,31423.0
2018-12-06,31616.0
2018-12-07,31577.0
2018-12-10,31374.0
2018-12-11,31374.0
2018-12-12,31287.0
2018-12-13,31205.0
2018-12-14,31043.0
2018-12-17,31114.0
2018-12-18,31114.0
2018-12-19,31190.0
2018-12-20,31190.0
2018-12-21,31452.0
2018-12-24,31547.0
2018-12-25,31547.0
2018-12-26,31547.0
2018-12-27,31566.0
2018-12-28,31531.0
2018-12-31,31883.0
2019-01-01,31769.0
2019-01-02,31769.0
2019-01-03,31764.0
2019-01-04,31734.0
2019-01-07,32116.0
2019-01-08,32117.0
2019-01-09,32117.0
2019-01-10,32117.0
2019-01-11,32117.0
2019-01-14,32396.0
2019-01-15,32276.0
2019-01-16,32276.0
2019-01-17,32154.0
2019-01-18,32324.0
2019-01-21,32226.0
2019-01-22,32303.0
2019-01-23,32303.0
2019-01-24,32691.0
2019-01-25,32862.0
2019-01-28,33209.0
2019-01-29,33262.0
2019-01-30,33262.0
2019-01-31,33226.0
2019-02-01,33239.0
2019-02-04,33000.0
2019-02-05,33043.0
2019-02-06,33043.0
2019-02-07,32913.0
2019-02-08,32891.0
2019-02-11,32845.0
2019-02-12,33193.0
2019-02-13,33193.0
2019-02-14,33371.0
2019-02-15,33519.0
2019-02-18,33531.0
2019-02-19,33252.0
2019-02-20,33252.0
2019-02-21,33326.0
2019-02-22,33264.0
2019-02-25,33250.0
2019-02-26,32819.0
2019-02-27,32819.0
2019-02-28,32819.0
2019-03-01,32138.0
2019-03-04,31982.0
2019-03-05,32123.0
2019-03-06,32123.0
2019-03-07,32110.0
2019-03-08,32033.0
2019-03-11,31960.0
2019-03-12,31966.0
2019-03-13,31966.0
2019-03-14,31725.0
2019-03-15,31952.0
2019-03-18,31952.0
2019-03-19,32007.0
2019-03-20,32007.0
2019-03-21,32054.0
2019-03-22,31987.0
2019-03-25,31854.0
2019-03-26,31601.0
2019-03-27,31601.0
2019-03-28,31643.0
2019-03-29,31499.0
2019-04-01,31557.0
2019-04-02,31615.0
2019-04-03,31615.0
2019-04-04,31930.0
2019-04-05,31886.0
2019-04-08,31770.0
2019-04-09,31673.0
2019-04-10,31673.0
2019-04-11,31574.0
2019-04-12,31641.0
2019-04-15,31394.0
2019-04-16,31394.0
2019-04-17,31394.0
2019-04-18,31560.0
2019-04-19,31560.0
2019-04-22,31501.0
2019-04-23,31794.0
2019-04-24,31764.0
2019-04-25,31764.0
2019-04-26,31764.0
2019-04-29,31764.0
2019-04-30,31310.0
2019-05-01,31220.0
2019-05-02,31220.0
2019-05-03,31490.0
2019-05-06,31776.0
2019-05-07,31730.0
2019-05-08,31751.0
2019-05-09,31751.0
2019-05-10,31961.0
2019-05-13,32243.0
2019-05-14,32051.0
2019-05-15,31911.0
2019-05-16,31911.0
2019-05-17,31550.0
2019-05-20,31504.0
2019-05-21,31699.0
2019-05-22,31591.0
2019-05-23,31591.0
2019-05-24,31708.0
2019-05-27,31802.0
2019-05-28,31674.0
2019-05-29,32056.0
2019-05-30,32056.0
2019-05-31,32206.0
2019-06-03,32206.0
2019-06-04,32611.0
2019-06-05,32607.0
2019-06-06,32607.0
2019-06-07,32527.0
2019-06-10,32590.0
2019-06-11,32632.0
2019-06-12,33061.0
2019-06-13,33061.0
2019-06-14,32733.0
2019-06-17,32850.0
2019-06-18,33520.0
2019-06-19,33909.0
2019-06-20,33909.0
2019-06-21,34041.0
2019-06-24,33885.0
2019-06-25,33849.0
2019-06-26,34006.0
2019-06-27,34006.0
2019-06-28,33549.0
2019-07-01,34134.0
2019-07-02,34134.0
2019-07-03,34655.0
2019-07-04,34655.0
2019-07-05,34437.0
2019-07-08,34189.0
2019-07-09,34575.0
2019-07-10,34407.0
2019-07-11,34407.0
2019-07-12,34558.0
2019-07-15,34428.0
2019-07-16,34709.0
2019-07-17,35091.0
2019-07-18,35091.0
2019-07-19,34932.0
2019-07-22,34897.0
2019-07-23,34943.0
2019-07-24,34781.0
