date,High,Low
2020-03-10,39887.0671118312,39134.39162795184
2020-03-11,39456.404086356844,38710.60346906297
2020-03-12,39311.75952867041,37376.595499525996
2020-03-13,37774.56102000711,35968.757428771394
2020-03-16,37468.76651717863,34674.906501424775
2020-03-17,36689.29786883881,35057.28611688628
2020-03-18,36818.56852122752,35273.71794694623
2020-03-19,35981.399575035895,35484.47280852637
2020-03-20,35876.79200090022,35864.704132975385
2020-03-23,38427.48404520392,36544.11923919648
2020-03-24,41225.7254328291,38955.92458255238
2020-03-25,41005.59400067516,39895.152623553906
2020-03-26,40122.45486842317,39871.160372678685
2020-03-27,39115.40174871046,39115.40174871046
2020-03-30,40075.25337098286,38969.593028939984
2020-03-31,39369.97202887135,38277.036346391884
2020-04-01,38859.9353770476,38131.31158872796
2020-04-02,39617.70293098891,38519.910942498434
2020-04-03,40066.023180670985,39669.282582151376
2020-04-06,41552.57920189222,39818.67241297515
2020-04-07,41927.03452869081,40312.585400356875
2020-04-08,41141.83207677593,40786.103653929626
2020-04-09,42574.70295491357,40772.35256026345
2020-04-10,42574.70295491357,40772.35256026345
2020-04-13,43081.943744069074,41951.43272481707
2020-04-14,43528.26048515441,42657.69527545132
2020-04-15,42886.21882950945,42340.58458928111
2020-04-16,43221.8397753159,42342.886009613074
2020-04-17,42361.731798672176,41376.975618437515
2020-04-20,41878.72044339174,41347.11527641584
2020-04-21,42170.50384173662,41004.52308449354
2020-04-22,42608.88145921047,41526.83958504501
2020-04-23,42680.73489246886,42392.13850673363
2020-04-24,42867.57438873439,42142.463468741465
2020-04-27,42449.04861549538,41958.84654820392
2020-04-28,42048.54508975578,41815.84021731377
2020-04-29,41688.179384956675,41408.39294613147
2020-04-30,41512.830924813024,40583.24100727963
2020-05-01,41083.04531644349,40334.544343884125
2020-05-04,41608.20351407398,41379.34562708886
2020-05-05,41448.97450340949,41273.87731497762
2020-05-06,41507.72742617391,41025.418136395296
2020-05-07,41941.31872601569,41059.5213240531
2020-05-08,41995.4810277024,41385.79536998355
2020-05-11,41502.75423987654,41154.56332633479
2020-05-12,41586.90844650425,41251.90389404121
2020-05-13,41758.301436941074,41287.66177831911
2020-05-14,42348.07968722213,41799.02020672915
2020-05-15,42606.09570150805,42273.195836362116
2020-05-18,43212.24487597859,42267.702788021816
2020-05-19,42545.75208577813,42416.86122354096
2020-05-20,42697.70215553719,42539.30076984105
2020-05-21,42466.05227454745,41826.67786583503
2020-05-22,42363.98013902456,42168.59685418524
2020-05-25,42363.98013902456,42168.59685418524
2020-05-26,41995.08924949539,41469.66473044382
2020-05-27,41632.32190811305,41031.06986401862
2020-05-28,42086.083945324746,41530.71599659202
2020-05-29,42260.80792909504,41696.77766292207
2020-06-01,42431.59612262286,41948.25908841116
2020-06-02,42289.210892664814,41715.01883694824
2020-06-03,41888.59145600356,40874.31518960889
2020-06-04,41766.33884454228,41173.45986786053
2020-06-05,41597.288790827966,40547.51319135278
2020-06-08,41274.765098567244,40704.000731213084
2020-06-09,41836.402766913474,41133.82095262591
2020-06-10,42308.99406535024,41606.59808239621
2020-06-11,42495.73734460118,41908.53119423859
2020-06-12,42502.55919751796,42061.19644145661
2020-06-15,42289.17935280596,41636.50939684146
2020-06-16,42380.16240594893,42203.74294232378
2020-06-17,42343.95302168755,41988.8828527355
2020-06-18,42452.79233558642,42041.510511041386
2020-06-19,42882.369064565304,42216.12220489656
2020-06-22,43204.71591426075,42786.7482759175
2020-06-23,43200.352755671716,42662.86922899239
2020-06-24,43409.47101816048,42956.65563361037
2020-06-25,42934.11527794645,42812.47510883365
2020-06-26,43109.35867346118,42919.651986520614
2020-06-29,43258.74148231126,43115.37424421469
2020-06-30,43532.78478404416,43076.38661998622
2020-07-01,43699.95254553346,42917.34056656826
2020-07-02,43021.28030607488,42652.3185968084
2020-07-03,42816.22942755638,42449.02628805088
2020-07-06,42982.71562578729,42937.09347608307
2020-07-07,43467.74105197353,42964.20953236586
2020-07-08,43847.54870081332,43451.981915218545
2020-07-09,43877.98950660384,43381.291603239115
2020-07-10,43655.095889530116,43466.49889172629
2020-07-13,43779.34637580979,43634.301605928595
2020-07-14,43931.21192148794,43434.06047550919
2020-07-15,43816.45956242867,43637.66558917267
2020-07-16,43779.08375770692,43377.774070946165
2020-07-17,43658.65583244876,43378.8705451155
2020-07-20,43771.67004292687,43523.582040606365
2020-07-21,44274.8211052869,43784.58694359157
2020-07-22,44876.48898033984,44580.836593787615
2020-07-23,45438.064253423174,44914.04584693041
2020-07-24,45644.45139733038,45331.70283205637
2020-07-27,46628.26691529892,45750.07716173421
2020-07-28,46795.720046123104,46408.302979642
2020-07-29,46979.21455784718,46957.57010427383
2020-07-30,47289.769052552736,46445.09460350121
2020-07-31,47650.920932860594,46854.77518607231
2020-08-03,47853.88996820219,47159.34058867973
2020-08-04,48645.88401166858,47502.24240497264
2020-08-05,49398.65604857917,48454.15065828604
2020-08-06,49697.118491488094,49143.05464015304
2020-08-07,49509.35586027296,48415.57193580537
2020-08-10,49217.31516301547,48583.976401369626
2020-08-11,48466.05687462826,45773.498159371135
2020-08-12,46830.488425147254,45026.16977933569
2020-08-13,47101.324554236824,46126.76461725224
2020-08-14,46897.444727668466,46646.99049946148
2020-08-17,47791.76202035141,46939.45494613906
2020-08-18,48139.062051020184,47401.158768243025
2020-08-19,47629.23786712106,46635.75814512183
2020-08-20,46998.23256661605,46371.04270052381
2020-08-21,46802.94018358063,45934.258950687385
2020-08-24,46355.91750124584,45930.58884403208
2020-08-25,46086.58350346424,45687.49421428281
2020-08-26,46600.685976796725,45618.88738311454
2020-08-27,46812.304644171876,45604.321146444694
2020-08-28,46521.56568685404,45369.912148150535
2020-08-31,46659.414405043346,46233.36588960296
2020-09-01,46535.49747073656,45959.16068670553
2020-09-02,46192.38351181746,45419.887955693324
2020-09-03,45801.334443959226,45428.08124487599
2020-09-04,45612.929747021226,45095.589704903774
2020-09-07,45741.52174789947,45222.72322040256
2020-09-08,45855.648501565964,45032.19074482109
2020-09-09,46013.68942701038,45503.00471157615
2020-09-10,46354.07169712392,45914.786720650314
2020-09-11,46093.27889144309,45816.649441644935
2020-09-14,46140.71927791236,45902.11391001013
2020-09-15,46608.9612101532,46308.25939072685
2020-09-16,46365.17973702122,46254.0755573849
2020-09-17,46082.47624865369,45791.203531295345
2020-09-18,46098.26649952164,46025.06148825696
2020-09-21,45927.65329175677,44445.661032357195
2020-09-22,45261.06625410707,44918.01807624927
2020-09-23,44361.73903258475,43992.74833897875
2020-09-24,44392.66163249878,43993.475814618934
2020-09-25,43966.09309423044,43932.96167452549
2020-09-28,44427.331844578,44427.331844578
2020-09-29,45008.36940639829,44462.20897429258
2020-09-30,45052.45303205647,44580.51565313974
2020-10-01,44908.18483263995,44270.87297249505
2020-10-02,44988.14342437346,44538.968076196674
2020-10-05,45136.249364462004,44408.16874998273
2020-10-06,45299.912099924455,44270.15450784843
2020-10-07,44552.64297601374,44158.933386846446
2020-10-08,44577.08106804701,44334.531616585744
2020-10-09,45358.20855033632,44793.90549762521
2020-10-12,45384.595206327256,45269.16015595957
2020-10-13,45333.47610983101,44503.314739498775
2020-10-14,45033.16495548318,44366.1978555468
2020-10-15,44973.812459372035,44579.82098750819
2020-10-16,44822.666124808726,44768.428794187144
2020-10-19,45001.53361595881,44805.75055861881
2020-10-20,45126.617041083126,44788.8276677117
2020-10-21,45600.92235387779,45276.77148980279
2020-10-22,45496.656003587006,44879.565563117714
2020-10-23,45277.36431398208,44872.69837992698
2020-10-26,45276.956773353486,44956.43295770573
2020-10-27,45238.38011778908,45134.09995649449
2020-10-28,44560.766760314546,44434.890624375985
2020-10-29,44789.80874134819,44289.44383064682
2020-10-30,44951.82991967908,44384.751432685174
2020-11-02,45344.327042087374,44822.60696298545
2020-11-03,45655.448277525036,45248.77150481458
2020-11-04,45835.687816483674,45314.11876166092
2020-11-05,46589.35090906168,45482.015579513325
2020-11-06,46725.664193033816,46296.28807780563
2020-11-09,46799.81874052119,44032.16493635444
2020-11-10,44963.28632535577,44627.00737149507
2020-11-11,44924.5443861526,44367.41001816516
2020-11-12,45082.73170222,44797.13915076456
2020-11-13,45338.27448631136,45019.24600221934
