date,mcx_silver
2019-02-17,60258.0
2019-02-24,60599.0
2019-03-03,62992.0
2019-03-10,62215.0
2019-03-17,66327.0
2019-03-24,66953.0
2019-03-31,66223.0
2019-04-07,67281.0
2019-04-14,68396.0
2019-04-21,64727.0
2019-04-28,65174.0
2019-05-05,65477.0
2019-05-12,65702.0
2019-05-19,72915.0
2019-05-26,67485.0
2019-06-02,68353.0
2019-06-09,68535.0
2019-06-16,69385.0
2019-06-23,68551.0
2019-06-30,64964.0
2019-07-07,66172.0
2019-07-14,66834.0
2019-07-21,66744.0
2019-07-28,64693.0
2019-08-04,62789.0
2019-08-11,65215.0
2019-08-18,66994.0
2019-08-25,68970.0
2019-09-01,68926.0
2019-09-08,69875.0
2019-09-15,69875.0
2019-09-22,69875.0
2019-09-29,69875.0
2019-10-06,69875.0
2019-10-13,69875.0
2019-10-20,70582.0
2019-10-27,71365.0
2019-11-03,70787.0
2019-11-10,72336.0
2019-11-17,68675.0
2019-11-24,67958.0
2019-12-01,68152.0
2019-12-08,68919.0
2019-12-15,68756.0
2019-12-22,69007.0
2019-12-29,68924.0
2020-01-05,67049.0
2020-01-12,67971.0
2020-01-19,67695.0
2020-01-26,66516.0
2020-02-02,62604.0
2020-02-09,62066.0
2020-02-16,63457.0
2020-02-23,63006.0
2020-03-01,63264.0
2020-03-08,63806.0
2020-03-15,63027.0
2020-03-22,59920.0
2020-03-29,60385.0
2020-04-05,59451.0
2020-04-12,60472.0
2020-04-19,60927.0
2020-04-26,62957.0
2020-05-03,64678.0
2020-05-10,65231.0
2020-05-17,64289.0
2020-05-24,62908.0
2020-05-31,64414.0
2020-06-07,66854.0
2020-06-14,66238.0
2020-06-21,63374.0
2020-06-28,61821.0
2020-07-05,60755.0
2020-07-12,59963.0
2020-07-19,61792.0
2020-07-26,61356.0
2020-08-02,61278.0
2020-08-09,61764.0
2020-08-16,59924.0
2020-08-23,60632.0
2020-08-30,61596.0
2020-09-06,64656.0
2020-09-13,61247.0
2020-09-20,61369.0
2020-09-27,61175.0
2020-10-04,62161.0
2020-10-11,63626.0
2020-10-18,64032.0
2020-10-25,65065.0
2020-11-01,67601.0
2020-11-08,69263.0
2020-11-15,67671.0
2020-11-22,67525.0
2020-11-29,68730.0
2020-12-06,66954.0
2020-12-13,66302.0
2020-12-20,67777.0
2020-12-27,69153.0
2021-01-03,66137.0
2021-01-10,65010.0
2021-01-17,62731.0
2021-01-24,62412.0
2021-01-31,58935.0
2021-02-07,61228.0
2021-02-14,62021.0
2021-02-21,62376.0
2021-02-28,62566.0
2021-03-07,61666.0
2021-03-14,60844.0
2021-03-21,61432.0
2021-03-28,59214.0
2021-04-04,59503.0
2021-04-11,57942.0
2021-04-18,56292.0
2021-04-25,54285.0
2021-05-02,55314.0
2021-05-09,54496.0
2021-05-16,57485.0
2021-05-23,57335.0
2021-05-30,58388.0
2021-06-06,58122.0
2021-06-13,56961.0
2021-06-20,55482.0
2021-06-27,54149.0
2021-07-04,53180.0
2021-07-11,54548.0
2021-07-18,55042.0
2021-07-25,56534.0
2021-08-01,55130.0
2021-08-08,56084.0
2021-08-15,60591.0
2021-08-22,57079.0
2021-08-29,55426.0
2021-09-05,55272.0
2021-09-12,55272.0
2021-09-19,58435.0
2021-09-26,60115.0
2021-10-03,61699.0
2021-10-10,61164.0
2021-10-17,61366.0
2021-10-24,61900.0
2021-10-31,64304.0
2021-11-07,65919.0
2021-11-14,67533.0
2021-11-21,66578.0
2021-11-28,67264.0
2021-12-05,67780.0
2021-12-12,69022.0
2021-12-19,68613.0
2021-12-26,67815.0
2022-01-02,68206.0
2022-01-09,67801.0
2022-01-16,68224.0
2022-01-23,69424.0
2022-01-30,66586.0
