date,High,Low
2022-09-26,49468.10748428525,48302.916430931815
2022-09-27,48586.14219882486,47883.250467326565
2022-09-28,49517.534555272694,48658.69611893755
2022-09-29,49379.999213706426,48748.44105252459
2022-09-30,49614.566853962155,49235.33435350391
2022-10-03,54503.47341145961,53095.14933196155
2022-10-04,55339.17384995659,54566.02392408678
2022-10-05,54500.50376064725,52757.63841972098
2022-10-06,54394.11601602963,53762.23917718942
2022-10-07,54859.299561364416,53390.20776701591
2022-10-10,52484.61326600838,51664.12904284887
2022-10-11,51666.0745474197,50448.531259613424
2022-10-12,50571.29101991856,49711.23305867476
2022-10-13,50182.43826957014,49705.8962363681
2022-10-14,50111.68839929304,47689.48871494135
2022-10-17,49444.50793020315,49314.767630652495
2022-10-18,49848.13719795795,49053.74157511718
2022-10-19,49854.37920745894,48813.802380167595
2022-10-20,50142.6573592431,48892.08609963509
2022-10-21,51350.571596827314,48625.52293813063
2022-10-24,51018.24846598995,50975.709117470135
2022-10-25,51467.69757612456,50297.37127257073
2022-10-26,52092.7540070546,51773.57733449921
2022-10-27,52082.13244115046,51591.418584545536
2022-10-28,51757.5132622491,50445.01265258558
2022-10-31,51102.67536322093,50490.50406404589
2022-11-01,52357.03670551319,50854.66225665921
2022-11-02,52872.63510704637,52100.774451747944
2022-11-03,51797.237452387235,50528.68558556909
2022-11-04,55484.96731798544,52874.381111222654
2022-11-07,55303.65714469432,53855.230038206704
2022-11-08,56949.599321619746,54460.935553791205
2022-11-09,56522.43784220533,55147.99328010087
2022-11-10,57284.199275704006,55364.20170034956
2022-11-11,56247.16921248345,55906.76413168488
2022-11-14,57739.523879922956,57099.422904206265
2022-11-15,57508.50104491516,55930.962331451345
2022-11-16,57366.31127323035,56213.49547245725
2022-11-17,54998.1922539854,54998.1922539854
2022-11-18,55100.51586111815,55100.51586111815
2022-11-21,54863.23415958069,54313.2557443455
2022-11-22,55392.7614229605,55025.14098956013
2022-11-23,56815.77891521909,55486.82899232872
